RowID,CaseID,Vol,Page,Order,Group,PreTitle,Forename,Surname,PostTitle,Status,Place1,County1,Place2,County2,Place3,County3
1239,2-1289-02,2,1289,2,,,John,Denham,,son of Jasper,Ilminster,Somerset,,,,
1240,2-1289-02,2,1289,2,,,Petronella,Denham,,widow of Jasper,Ilminster,Somerset,,,,
1241,2-1290-01,2,1290,1,,Sir,John,Repington,,,Amington,Warwickshire,,,,
1242,2-1290-02,2,1290,2,,,Thomas,Harris,,,Market Jew,Cornwall,,,,
1243,2-1290-03,2,1290,3,,Sir,John,Pettus,,,Cheston Hall,Suffolk,,,,
1244,2-1291-01,2,1291,1,,,Posthumus,Sare,,brother and heir of William,,,,,,
1245,2-1291-01,2,1291,1,,,William,Sare,,brother of Posthumus,Glenfield,Leicestershire,,,,
1246,2-1291-02,2,1291,2,,,Richard,Vincent,,,Great Smeaton,Yorkshire,,,,
1247,2-1292-01,2,1292,1,,,Richard,Wetherall,,,Lincoln,Lincolnshire,,,,
1248,2-1292-02,2,1292,2,,,Thomas,Rawlins,,goldsmith,London,London,,,,
1249,2-1292-03,2,1292,3,,,Jane,Atkinson,,widow of Henry,,,,,,
1250,2-1292-03,2,1292,3,,Captain,Henry,Atkinson,,late husband of Jane,,,,,,
1251,2-1292-04,2,1292,4,,,Robert,Shipman,,,South Witham,Lincolnshire,,,,
1252,2-1292-05,2,1292,5,,,John,Hervey,,,Ickworth,Suffolk,,,,
1253,2-1292-06,2,1292,6,,,John,Strode,,,Farnham,Dorset,,,,
1254,2-1292-07,2,1292,7,,Sir,Robert,Howard,KB,,Clun,Shropshire,,,,
1255,2-1293-01,2,1293,1,,,Edward,Lloyd,,,Trevant,Montgomeryshire,,,,
1256,2-1293-02,2,1293,2,,Sir,Thomas,Longville,,,Bradwell,Buckinghamshire,,,,
1257,2-1294-01,2,1294,1,,,Henry,Sydenham,,,Donyatt,Somerset,,,,
1258,2-1294-01,2,1294,1,,,Humphrey,Sydenham,,son of Henry,Donyatt,Somerset,,,,
1259,2-1294-01,2,1294,1,,,Philip,Sydenham,,son of Henry,Donyatt,Somerset,,,,
1260,2-1295-01,2,1295,1,,,Patrick,Winch,,,Waltham Holy Cross,Essex,,,,
1261,2-1295-02,2,1295,2,,,Mark,Proudfoot,,,St Martin in the Fields,Middlesex,,,,
1262,2-1295-03,2,1295,3,,Sir,Allen,Apsley,,,London,London,,,,
1263,2-1295-03,2,1295,3,,Colonel,James,Apsley,,brother of Sir Allen,London,London,,,,
1264,2-1295-04,2,1295,4,,,William,Cooper,,,Glastonbury,Somerset,,,,
1265,2-1296-01,2,1296,1,,,Mary,Dalby,,widow of Gerrard,Chatham,Kent,,,,
1266,2-1296-01,2,1296,1,,,Gerrard,Dalby,,one of HM's gunners on the Bonaventure; late husband of Mary,,,,,,
1267,2-1296-02,2,1296,2,,,William,Layton,,,Dale Main,Cumberland,,,,
1268,2-1296-03,2,1296,3,,,John,Oldfield,,,Spalding,Lincolnshire,,,,
1269,2-1296-04,2,1296,4,,Colonel,Samuel,Sandys,,,Ombersley,Worcestershire,,,,
1270,2-1296-04,2,1296,4,,,Mary,Sandys,,wife of Samuel,Ombersley,Worcestershire,,,,
1271,2-1296-04,2,1296,4,,Colonel,William,Sandys,,,Askham,Nottinghamshire,,,,
1272,2-1297-01,2,1297,1,,,Arthur,Denny,,,Palgrave,Suffolk,,,,
1273,2-1297-02,2,1297,2,,Sir,Drue,Drury,bart,,Riddlesworth,Norfolk,,,,
